labels,Char,x0,x1,y0,y1
69,"0,5 l",15.326870000000001,31.25487,332.70489,340.70489
70,MILKA,13.165770000000002,45.91577,162.80218,172.80218
71,Ciocolată,13.115770000000001,58.10576999999999,150.80218,160.80218
72,diverse ,13.115870000000001,41.33987000000001,140.91868,148.91868
73,sortimente,13.115870000000001,53.25986999999999,131.31869,139.31869
74,87 g - 100 g,13.115870000000001,56.89187,121.71869,129.71868999999998
75,VARTA,492.74685,526.53685,362.23037999999997,372.23037999999997
76,Baterii ,492.69687000000005,527.83687,352.23037999999997,362.23037999999997
77,alcaline ,492.69687000000005,531.83687,342.23037999999997,352.23037999999997
78,Longlife,492.69687000000005,531.41587,332.23037999999997,342.23037999999997
79,AA / AAA1 set,492.69696,529.7289599999999,315.9469,331.9469
80,LUNI&MARȚI,28.664871,149.0073951080526,612.6998590000002,639.800842893489
81,S1-RO-KW42-KDZ-TITLU-1000-07,449.47365999999994,541.6636599999999,11.40456,17.40456
82,1,537.7475599999999,542.0875599999999,22.67715,32.67715
