page_number,chars,x0,x1,y0,y1,labels,tag
1,"Toate ofertele  LUNI&MARȚI, ",11.91977,114.900106,62.056202,102.4274037,42,page_info
1,în pg.,115.645167,148.0149814,69.215686,83.5085583,43,page_info
1,4-9,148.6120635,171.2079603,71.52100653,88.13773113,44,page_info
1,PRIGAT Băutură răcoritoare  necarbonatată,94.80837,166.21837,514.34253,560.34253,45,name
1,diverse sortimente,94.80847,163.17567,504.45901,512.45901,46,description
1,"pet 1,75 l",94.80847,113.82447,484.97903,502.57901,47,description
1,DALBIS Telemea,192.75575,232.44575,290.31097,312.31097,48,name
1,proaspătă din lapte de vacă 42% grăsime 100 g *produs disponibil la vitrina cu servire,192.75586,264.98626,232.50749,288.42749,49,description
1,asistata,192.75586,222.42786,223.50749,231.50749,50,description
1,GOLDEN BRAU Bere blondăBere blondă,374.78598,432.34607,114.36849,148.36848,51,name
1,"5% alcool doză Pachet  promoțional 6 x 0,5 l",374.78607,419.87327,65.52499,112.48499,52,description
1,DOVE Șampon,98.50387,137.45387,284.64169,306.64169,53,name
1,repair / revival /  moisture damă 400 ml,98.50397,159.56717,245.67827,282.75827,54,description
1,DERONI Orez,282.04718,321.09717,171.44488,193.44488,55,name
1,Camolino 1 kg,282.04727,316.47047,151.96139,169.56139,56,description
1,Struguri albi,193.25986,253.08986,453.10437,463.10437,57,name
1,calitatea I kg,193.25986,230.57186,433.62088,451.22088,58,description
1,Pulpă de porc  fără os,379.84247,417.93247,342.27398,376.27398,59,name
1,ideală  pentru gătit kg,379.84247,404.62647,303.31048,340.39047,60,description
1,LUNI&MARȚI,28.664871,149.0464503,612.699859,639.803574,61,page_info
1,S1-RO-KW43-KDZ-TITLU-1000-07,449.37765,541.66365,11.40456,17.40456,62,leaflet_id
1,1,537.74756,542.08756,22.67715,32.67715,63,page_num
2,Stickerul câștigător,174.55936,395.47936,321.69827,345.69827,0,page_info
2,îți aduce 150 lei/oră*,174.55936,402.07696,292.89828,316.89828,1,page_info
2,"Mulțumim, România, pentru că porți cu ",174.55936,427.52256,263.14099,277.14099,2,page_info
2,mândrie culorile noastre! Mii de români,175.55336,420.38256,246.145,260.145,3,page_info
2,și-au lipit stickerul pe mașină și au,201.55136,415.56656,229.149,243.149,4,page_info
2,câștigat. Mai ai 3 săptămâni să îți,216.54536,427.77596,212.153,226.153,5,page_info
2,lipești și tu stickerul pe mașină,227.54936,418.73056,195.157,209.157,6,page_info
2,pentru a câștiga unul dintre cele,234.54936,438.55456,178.16099,192.16099,7,page_info
2,peste 5000 de vouchere,238.55336,396.82056,161.16499,175.16499,8,page_info
2,de cumpărături în valoare,240.55536,404.33996,144.16901,158.16901,9,page_info
2,de 150 lei.,240.55536,304.85736,127.173,141.173,10,page_info
2,"* Zilnic, de luni până vineri, peste 130 de vouchere de cumpărături în valoare de 150 de lei.",219.61316,532.81236,81.45589,89.45589,11,page_info
2,"Pentru înscrierea și participarea la concursul online și pentru extragerea și anunțarea  câștigătorilor, Kaufland va prelucra numele și prenumele tău, numărul de telefon, orașul, ",219.61316,532.60196,59.42389,77.02389,12,page_info
2,numărul de înmatriculare și poza mașinii tale în condițiile prevăzute în regulamentul,219.61316,516.94596,49.82389,57.82389,13,page_info
2,concursului de pe site-ul www.kaufland.ro/15anisticker,219.61316,417.67476,40.22389,48.22389,14,page_info
2,S2-RO-KW43-KDZ-PR_L-1000-07,10.99659,101.32659,12.53856,18.53856,15,leaflet_id
2,2,10.98859,16.84859,22.67715,32.67715,16,page_num
3,Ce produse poți să câștigi?,14.17327,246.6680934,168.90799,188.9079954,0,page_info
3,În fiecare săptămână sunt 2 categorii de produse,14.17327,232.6834014,151.23868,161.2386776,1,page_info
3,alese dintre mărcile tale preferate:,14.17327,166.1317418,139.23868,149.2386776,2,page_info
3,21.10-27.10 detergent de la Ariel capsule și mere roșii. 28.10-3.11 vin de la Prahova Valley și Aqua Carpatica.,14.17327,236.0968325,109.56868,131.5686776,3,page_info
3,4.11-10.11 lapte de la Olympus și roșii.,14.17327,168.1604283,97.56868,107.5686776,4,page_info
3,Consumul mediu anual al unui român*,23.82297,243.785076,214.73739,227.44389,5,page_info
3,Super Eroii din săptămâna aceasta  din săptămâna aceasta,291.37875,511.77935,337.72357,351.72357,6,page_info
3,sunt brandurile tale preferate:,326.77075,511.77935,320.64358,334.64358,7,page_info
3,"Meda, Heineken, Unisol, Floriol și Gerovital.",233.81076,508.13936,303.56357,317.56357,8,page_info
3,Super Eroii săptămânii îți aduc reduceri,32.59847,471.19847,690.52453,714.52453,9,page_info
3,"aniversare, dar și câștiguri de poveste!",32.59847,451.99847,661.72448,685.72448,10,page_info
3,"Vino în magazin în fiecare săptămână, cumpără produsele Super Erou ",32.59847,464.38648,636.42047,650.42047,11,page_info
3,și vei primi la casa de marcat vouchere de 5 lei.,32.59847,322.03167,619.62048,633.62048,12,page_info
3,*Datele care au stat la baza estimării provin din surse statistice din România și date interne Kaufland România,14.17327,443.77747,33.96959,42.96959,13,page_info
3,Nu ne asumăm răspunderea pentru eventualele greșeli de tipar. Toate imaginile sunt cu titlu de prezentare.,11.33857,343.21907,11.33849,18.33849,14,page_info
3,,501.3249248,540.373442,251.606301,285.0126802,15,page_info
3,S3-RO-KW43-KDZ-PR_R-1000-07,450.94964,541.66364,12.53856,18.53856,16,leaflet_id
3,3,535.86755,541.80755,22.78715,32.78715,17,page_num
4,Articolele se găsesc în limita stocului disponibil. Vindem în cantități destinate exclusiv consumului personal.,212.28116,541.41766,11.33849,18.33849,0,page_info
4,LUNI&MARȚI. LUNI&MARȚI,295.706179,535.517914,62.336988,97.79202999,1,page_info
4,LUNI&MARȚI . LUNI&MARȚI . LUNI&MARȚI. LUNI&MARȚI,13.43027,539.1311673,786.46502,810.36189,2,page_info
4,,11.69377,50.74228719,251.32278,284.7291592,3,page_info
4,Ofertele din paginile 4-5 sunt valabile,250.491579,540.8237812,29.676987,66.01792396,4,page_info
4,19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020      112020       9-20.0.0,24.09447,529.26488,761.27093,775.27093,5,page_info
4,LUNI&  MARȚI,185.48836,268.524543,358.98773,402.17428,6,page_info
4,LUNI&  MARȚI,139.78703,222.823213,600.28595,643.47247,7,page_info
4,LUNI&  MARȚI,456.85846,539.894643,412.98303,456.16958,8,page_info
4,LUNI&  MARȚI,456.85846,539.894643,190.46344,233.65,9,page_info
4,-28%,474.55865,520.36865,168.20308,186.20308,10,discount
4,"4,99",477.60345,534.87045,115.60808,142.60808,11,price
4,"6,99",460.03457,492.51457,145.22699,161.22699,12,price
4,-20%,474.53488,520.39888,389.13299,407.13299,13,discount
4,"7,99",478.00015,534.88915,336.7558,363.7558,14,price
4,"9,99",460.05346,492.53346,366.37469,382.37469,15,price
4,-27%,159.03506,204.21506,575.08648,593.08648,16,discount
4,"2,39",163.09366,219.03766,522.78582,549.78582,17,price
4,"3,29",144.20238,176.45838,552.40454,568.40454,18,price
4,-28%,204.33507,250.14507,336.40857,354.40857,19,discount
4,"3,49",208.40488,264.69988,284.31488,311.31488,20,price
4,"4,89",189.86456,222.24856,313.93377,329.93377,21,price
4,Mere Granny,93.54327,157.28327,309.20309,319.20309,22,name
4,Smith,93.54327,121.47327,297.20309,307.20309,23,name
4,calitatea I kg,93.54327,130.85527,277.71957,295.31958,24,description
4,Carne tocată,351.49606,413.49606,352.51648,362.51648,25,name
4,din pulpă de porc 10% grăsime 500 g,351.49606,415.49526,323.15301,350.63299,26,description
4,Castraveţi  cornichon,59.74807,111.66807,540.41638,562.41638,27,name
4,calitatea I kg,59.74807,97.06007,520.93298,538.53302,28,description
4,Hamburger de porc,344.12597,436.57497,116.64168,126.64168,29,name
4,400 g,344.12597,365.71797,107.04169,115.04169,30,description
4,S4-RO-KW43-KDZ-REDLM_L-1000-07,10.99659,114.42459,12.53856,18.53856,31,leaflet_id
4,4,10.96859,17.09859,22.67715,32.67715,32,page_num
5,Nu ne asumăm răspunderea pentru eventualele greșeli de tipar. Toate imaginile sunt cu titlu de prezentare.,11.33857,343.21907,11.33849,18.33849,0,page_info
5,LUNI&MARȚI  LUNI&MARȚI  LUNI&MARȚI LUNI&MARȚI,14.227269,537.3474724,80.891187,136.1571164,1,page_info
5,.,140.481068,143.4714045,95.901691,113.884088,2,page_info
5,.,276.300881,279.2912175,105.399195,123.381592,3,page_info
5,.,407.304764,410.2951005,114.559791,132.542188,4,page_info
5,LUNI&MARȚI  LUNI&MARȚI  LUNI&MARȚI LUNI&MARȚILUNI&MARȚILUNI&MARȚI .,13.71367,539.4146833,786.46502,810.36189,5,page_info
5,.,140.70698,144.94445,792.63189,810.36189,6,page_info
5,.,408.18216,412.41963,792.63189,810.36189,7,page_info
5,în zilele de 19 și 20 octombrie.,20.946369,230.1311291,52.278046,82.94463929,8,page_info
5,19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020      112020       9-20.0.0,24.09447,529.26488,761.27093,775.27093,9,page_info
5,LUNI&  MARȚI,455.68606,538.722243,540.97711,584.16369,10,page_info
5,LUNI&  MARȚI,95.78997,178.826153,632.12005,675.30663,11,page_info
5,LUNI&  MARȚI,276.38595,359.422133,217.39255,260.5791,12,page_info
5,LUNI&  MARȚI,459.33325,542.369433,234.40043,277.58699,13,page_info
5,LUNI&  MARȚI,96.49857,179.534753,208.88862,252.07518,14,page_info
5,-66%,113.40087,159.62487,608.61731,626.61731,15,discount
5,-15%,477.51404,520.66004,210.13508,228.13508,16,discount
5,"2,19",120.66237,173.90637,556.44091,583.44091,17,price
5,"5,59",481.19336,536.51636,157.67789,184.67789,18,price
5,"6,45",98.99997,131.22397,586.05963,602.05963,19,price
5,"6,59",461.64987,493.28187,187.3008,203.3008,20,price
5,-30%,474.42749,520.52549,518.52112,536.52112,21,discount
5,"5,59",479.61337,534.93637,465.73218,492.73218,22,price
5,"7,99",460.10077,492.22877,495.3511,511.3511,23,price
5,-21%,295.45569,338.54769,193.54248,211.54248,24,discount
5,"2,99",297.42685,354.42385,141.16528,168.16528,25,price
5,"3,79",279.58816,311.42816,170.78418,186.78418,26,price
5,-21%,114.98317,158.07517,184.7551,202.7551,27,discount
5,"8,19",120.62607,173.95107,132.66128,159.66128,28,price
5,"10,39",99.11577,137.86777,162.28029,178.28029,29,price
5,GRAN  BAVARESE Brânză  cu mucegai,375.56976,428.86876,505.48416,551.48413,30,name
5,50% grăsime 100 g*,375.56985,423.17705,486.00079,503.6008,31,description
5,*produs la vitrina cu servire asistată,375.56985,436.53355,472.00067,486.00067,32,description
5,SCANDIA  SIBIU Pate,29.24987,77.65987,568.86206,602.86206,33,name
5,de porc 200 g,29.24997,56.93797,549.37866,566.9787,34,description
5,KINDER maxi king,490.39358,536.22358,294.48178,316.48178,35,name
5,3x35g,490.39367,513.95367,284.88177,292.88177,36,description
5,REINERT Şuncă  Westfalia,34.01567,79.67567,136.16019,170.16019,37,name
5,100 g,34.01577,54.31977,126.56019,134.56019,38,description
5,ARTESANA,195.13418,250.36418,177.67551,187.67551,39,name
5,Kefir,195.08418,218.38418,165.67551,175.67551,40,name
5,"din lapte de vacă 3,5% grăsime 250 ml",195.08426,258.19546,136.31209,163.79208,41,description
5,S5-RO-KW43-KDZ-REDLM_R-1000-07,438.17566,541.66366,12.53856,18.53856,42,leaflet_id
5,5,535.92749,541.81749,22.78715,32.78715,43,page_num
6,Articolele se găsesc în limita stocului disponibil. Vindem în cantități destinate exclusiv consumului personal.,212.28116,541.41766,11.33849,18.33849,0,page_info
6,LUNI&MARȚI . LUNI&MARȚI . LUNI&MARȚI. LUNI&MARȚI,13.43027,539.1311673,786.46502,810.36189,1,page_info
6,LUNI&MARȚI . LUNI&MARȚI . LUNI&MARȚI. LUNI&MARȚI,15.539169,538.6592894,42.75459,98.02051945,2,page_info
6,SĂPTĂMÂNA,204.28296,372.9590844,724.04138,751.48178,3,page_info
6,CU OFERTELE DE,210.51193,435.7701411,644.38195,671.82235,4,page_info
6,E MAI FRUM,194.36696,400.5129474,685.60974,719.91024,5,page_info
6,OASĂ,400.6158474,498.2693771,685.60974,719.91024,6,page_info
6,Ofertele din paginile 6-7 sunt valabile,250.491579,540.8237713,35.346289,71.68722527,7,page_info
6,19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020,24.09447,529.26487,761.27093,775.27093,8,page_info
6,LUNI&  MARȚI,315.84418,398.880363,405.75934,448.94589,9,page_info
6,LUNI&  MARȚI,93.69701,176.733193,388.76037,431.94692,10,page_info
6,LUNI&  MARȚI,459.33325,542.369433,190.23114,233.4177,11,page_info
6,LUNI&  MARȚI,95.91347,178.949653,660.3059,703.49249,12,page_info
6,LUNI&  MARȚI,95.63367,178.669853,169.61433,212.80088,13,page_info
6,LUNI&  MARȚI,274.957,357.993183,169.61433,212.80088,14,page_info
6,-23%,113.14507,158.84707,365.98388,383.98388,15,discount
6,"21,29",103.60767,173.40267,313.38888,340.38888,16,price
6,"27,99",98.56687,139.67087,343.00778,359.00778,17,price
6,-20%,476.43179,522.29579,167.27659,185.27659,18,discount
6,"2,29",479.89697,536.78597,114.8995,141.8995,19,price
6,"2,89",461.95038,493.90238,144.51839,160.51839,20,price
6,-30%,110.83227,156.93027,636.3844,654.3844,21,discount
6,"1,79",118.65297,171.30297,584.00732,611.00732,22,price
6,"2,59",96.46787,127.92387,613.6261,629.6261,23,price
6,-32%,334.74505,380.44705,383.1803,401.1803,24,discount
6,"1,45",342.19015,395.05615,331.08648,358.08648,25,price
6,"2,15",320.22046,349.78846,360.70538,376.70538,26,price
6,-28%,114.74507,160.55507,146.82259,164.82259,27,discount
6,-20%,294.03567,339.89967,146.82259,164.82259,28,discount
6,"7,19",121.95507,175.09107,94.36929,121.36929,29,price
6,"2,85",298.21106,354.39806,94.36929,121.36929,30,price
6,"9,99",100.21307,132.69307,123.98819,139.98819,31,price
6,"3,59",279.53067,311.11467,123.98819,139.98819,32,price
6,AUTENTIC  ROM de rom,226.73376,280.31377,345.48657,391.48657,33,name
6,Baton cu cremă,226.73376,303.85276,357.48657,367.48657,34,description
6,Rom cel Dublu,226.73385,279.31785,335.60309,343.60309,35,description
6,60 g,226.73385,243.38985,326.00308,334.00308,36,description
6,BURN Băutură  energizantă,284.88177,342.13177,264.3212,298.3212,37,name
6,regular / măr şi kiwi /,284.88186,365.00906,254.43768,262.43768,38,description
6,"fără zahăr doză 0,25 l",284.88186,323.52986,225.3577,252.83769,39,description
6,TUC  ORIGINAL Biscuiţi  săraţi,17.67397,67.51397,605.78723,651.78723,40,name
6,diverse  sortimente 100 g,17.67417,57.81817,576.70392,603.90387,41,description
6,TYMBARK  FONTEA Băutură  răcoritoare  necarboga- zoasă,393.16287,449.83287,144.93028,214.93028,42,name
6,mere / lămâie/  zmeură lime,393.16296,449.50616,125.44679,143.04678,43,description
6,"pet 1,5 l",393.16296,407.90696,105.96679,123.56679,44,description
6,TASSIMO  JACOBS Cafea capsule,14.12907,80.33907,326.21649,360.21649,45,name
6,diverse sortimente,14.12917,82.49637,316.3331,324.3331,46,description
6,96-264 g,14.12917,47.96917,306.73309,314.73309,47,description
6,TCHIBO Cafea  măcinată,140.29907,185.13907,248.54718,282.54718,48,name
6,Exclusive  intense 250 g,140.29916,175.23436,219.46379,246.66379,49,description
6,S6-RO-KW43-KDZ-REDLM2_L-1000-07,10.99659,117.50259,12.53856,18.53856,50,leaflet_id
6,6,10.92859,16.89859,22.77715,32.77715,51,page_num
7,Nu ne asumăm răspunderea pentru eventualele greșeli de tipar. Toate imaginile sunt cu titlu de prezentare.,11.33857,343.21907,11.33849,18.33849,0,page_info
7,LUNI&MARȚI  LUNI&MARȚI  LUNI&MARȚI LUNI&MARȚI .,13.71367,539.4146773,786.46502,810.36189,1,page_info
7,.,140.70698,144.94445,792.63189,810.36189,2,page_info
7,.,408.18216,412.41963,792.63189,810.36189,3,page_info
7,LUNI&MARȚI  LUNI&MARȚI  LUNI&MARȚI LUNI&MARȚI,14.227269,537.3474724,80.891089,136.1570184,4,page_info
7,.,140.481068,143.4714045,95.901691,113.884088,5,page_info
7,.,276.300881,279.2912175,105.399085,123.381482,6,page_info
7,.,407.304764,410.2951005,114.559791,132.542188,7,page_info
7,în zilele de 19 și 20 octombrie.,20.946367,229.5246082,57.947345,88.57152664,8,page_info
7,19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020      112020       9-20.0.0,24.09447,529.26488,761.27093,775.27093,9,page_info
7,LUNI&  MARȚI,94.47887,177.515053,597.33264,640.51916,10,page_info
7,LUNI&  MARȚI,455.68866,538.724843,597.04248,640.229,11,page_info
7,LUNI&  MARȚI,96.42737,179.463553,201.56973,244.75628,12,page_info
7,LUNI&  MARȚI,274.67258,357.708763,597.53674,640.72332,13,page_info
7,LUNI&  MARȚI,454.11316,537.149343,229.19772,272.38427,14,page_info
7,LUNI&  MARȚI,275.16397,358.200153,220.11264,263.29921,15,page_info
7,-28%,113.60747,159.41747,574.2641,592.2641,16,discount
7,"1,99",120.55437,173.90637,522.0877,549.0877,17,price
7,"2,79",98.99997,130.71197,551.70648,567.70648,18,price
7,-29%,474.46347,520.48947,574.59314,592.59314,19,discount
7,-24%,115.56377,161.46377,179.87738,197.87738,20,discount
7,"2,69",479.07327,534.93627,521.8042,548.8042,21,price
7,"1,99",122.59228,175.94428,127.09116,154.09116,22,price
7,"3,79",460.10077,491.94077,551.42309,567.42309,23,price
7,"2,65",101.10037,132.95637,156.7073,172.7073,24,price
7,-24%,294.06897,339.96897,575.14911,593.14911,25,discount
7,"3,29",297.47098,354.44098,523.05548,550.05548,26,price
7,"4,36",279.60556,312.29356,552.67431,568.67431,27,price
7,-31%,475.09414,517.79014,207.09369,225.09369,28,discount
7,"4,99",476.59756,533.86456,154.71651,181.71651,29,price
7,"7,29",459.02878,490.98078,184.33539,200.33539,30,price
7,-20%,294.06958,339.93358,197.74058,215.74058,31,discount
7,"3,39",298.38885,354.41385,145.43989,172.43989,32,price
7,"4,29",279.57876,312.13876,175.05878,191.05878,33,price
7,BUCUR,470.60095,504.97095,699.74163,709.74163,34,name
7,Bere blondă/  Bere neagră,470.55096,534.99096,675.74163,697.74163,35,description
7,"5% alcool 0,35 l",470.55118,506.15118,646.37817,673.85821,36,description
7,sticlă nereturnabilă,470.55118,542.15038,655.97821,663.97821,37,description
7,BUCOVINA Apă minerală  naturală,126.37786,193.34786,278.29819,312.29819,38,name
7,plată pet 2 l,126.37797,145.85797,248.93468,276.41467,39,description
7,BERGENBIER Bere blondă,108.16817,171.58817,690.88299,712.88299,40,name
7,"Fresh lemon /  grapefruit 1,9% alcool doză 0,5 l",108.16827,160.19227,642.03961,688.99963,41,description
7,EFES,290.97235,315.08235,686.55243,696.55243,42,name
7,Bere blondă,290.92236,348.48236,674.55243,684.55243,43,description
7,"5% alcool doză 0,5 l",290.92245,326.52245,645.18896,672.669,44,description
7,SKOL,383.07867,409.57867,187.47548,197.47548,45,name
7,Bere blondă,383.02868,440.58868,175.47548,185.47548,46,description
7,"4,6% alcool",383.02878,425.37278,165.59209,173.59209,47,description
7,"pet 2,5 l",383.02878,398.91678,146.11209,163.7121,48,description
7,STEJAR Bere blondă,204.24415,261.80415,156.80809,178.80809,49,name
7,7% alcool pet 1 l,204.24426,239.68426,127.44469,154.92468,50,description
7,S7-RO-KW43-KDZ-REDLM2_R-1000-07,435.12167,541.66367,12.53856,18.53856,51,leaflet_id
7,7,536.08752,541.83752,22.67715,32.67715,52,page_num
8,Articolele se găsesc în limita stocului disponibil. Vindem în cantități destinate exclusiv consumului personal.,212.28116,541.41766,11.33849,18.33849,0,page_info
8,LUNI&MARȚI . LUNI&MARȚI . LUNI&MARȚI. LUNI&MARȚI,15.539169,538.6592894,42.75459,98.02051945,1,page_info
8,OFERTE,250.98009,352.3589271,675.7055,702.5466,2,page_info
8,EXCLUSIV!,221.45126,392.2609113,715.09423,748.64553,3,page_info
8,LUNI&MARȚI . LUNI&MARȚI . LUNI&MARȚI. LUNI&MARȚI,13.43027,539.1311673,783.06323,806.96028,4,page_info
8,Ofertele din paginile 8-9 sunt valabile,250.491579,540.8237713,35.346289,71.68722527,5,page_info
8,19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020,24.09447,529.26487,761.27093,775.27093,6,page_info
8,LUNI&  MARȚI,82.80067,165.836846,620.55761,663.74419,7,page_info
8,LUNI&  MARȚI,86.57285,169.609026,421.79309,464.97964,8,page_info
8,LUNI&  MARȚI,457.93847,540.974653,184.77487,227.96142,9,page_info
8,LUNI&  MARȚI,239.00734,322.043523,172.92638,216.11293,10,page_info
8,-31%,476.05926,518.75526,161.99548,179.99548,11,discount
8,"28,59",462.83145,534.81345,109.40049,136.40049,12,price
8,"41,99",459.97796,498.93796,139.01938,155.01938,13,price
8,-28%,105.86657,151.67657,399.79437,417.79437,14,discount
8,"3,99",109.11577,166.19377,347.41717,374.41717,15,price
8,"5,59",91.35827,122.86227,377.03607,393.03607,16,price
8,-30%,258.08069,304.17869,150.58008,168.58008,17,discount
8,"13,99",248.61236,318.54236,98.27939,125.27939,18,price
8,"19,99",243.70676,283.13076,127.89829,143.89829,19,price
8,-33%,102.28647,147.95247,597.97839,615.97839,20,discount
8,"10,29",92.70337,162.57937,545.88482,572.88482,21,price
8,"15,49",87.74387,126.59187,575.50354,591.50354,22,price
8,LUNI&  MARȚI,75.71117,158.747353,167.23804,210.42459,23,discount
8,-25%,92.79627,138.58827,144.9108,162.9108,24,discount
8,"40,29",79.31427,153.10527,92.60999,119.60999,25,price
8,"53,99",78.26947,119.70947,122.22889,138.22889,26,price
8,COLGATE Pastă de dinţi,82.20467,150.72467,721.17718,743.17718,27,name
8,tub,82.20467,98.68467,709.17718,719.17718,28,description
8,total original care / advanced white /  total white 100 ml,82.20477,153.08397,670.21368,707.29364,29,description
8,GARNIER Apă  micelară,172.34637,217.55638,139.41199,173.41199,30,name
8,pentru piele  sensibilă/ ten cu  imperfecțiuni 400 ml,172.34647,221.49767,90.84849,137.52849,31,description
8,PLANT LINE Cremă mâini,101.10227,160.74227,491.57077,513.57077,32,name
8,aloe vera / ulei de cătină,101.10237,192.28477,481.68738,489.68738,33,description
8,75 ml,101.10237,121.46237,472.08737,480.08737,34,description
8,PERSIL,360.04986,394.81986,163.41328,173.41328,35,name
8,Detergent gel  pentru rufe,359.99988,428.20988,139.41328,161.41328,36,description
8,universal /  sensitive /  lavandă 40 de utilizări 2 l,359.99997,410.47917,90.8499,137.52991,37,description
8,NIVEA  CELLULAR Cremă  anti-rid,14.17317,65.74317,116.07479,162.07478,38,name
8,de noapte /  de zi 50 ml,14.17327,59.26847,86.71129,114.19129,39,description
8,S8-RO-KW43-KDZ-REDLM3_L-1000-07,10.99659,117.55659,12.53856,18.53856,40,leaflet_id
8,8,10.96859,16.90859,22.78715,32.78715,41,page_num
9,Nu ne asumăm răspunderea pentru eventualele greșeli de tipar. Toate imaginile sunt cu titlu de prezentare.,11.33857,343.21907,11.33849,18.33849,0,page_info
9,LUNI&MARȚI  LUNI&MARȚI  LUNI&MARȚI LUNI&MARȚIUI&ȚI LUNI&MARȚI,14.227269,537.3474724,80.891089,136.1570184,1,page_info
9,.,140.481068,143.4714045,95.901691,113.884088,2,page_info
9,.,276.300881,279.2912175,105.399085,123.381482,3,page_info
9,.,407.304764,410.2951005,114.559791,132.542188,4,page_info
9,LUNI&MARȚI  LUNI&MARȚI  LUNI&MARȚI LUNI&MARȚI .,13.71367,539.4146773,783.06323,806.96028,5,page_info
9,.,140.70698,144.94445,789.23028,806.96028,6,page_info
9,.,408.18216,412.41963,789.23028,806.96028,7,page_info
9,în zilele de 19 și 20 octombrie.,20.946369,230.1311291,57.947345,88.61393829,8,page_info
9,19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020,24.09447,529.26487,761.27093,775.27093,9,page_info
9,LUNI&  MARȚI,458.27887,541.315053,695.03045,738.21703,10,page_info
9,LUNI&  MARȚI,452.55807,535.594253,230.13522,273.32177,11,page_info
9,LUNI&  MARȚI,250.38437,333.420553,212.15823,255.34478,12,page_info
9,LUNI&  MARȚI,255.22226,338.258443,393.38412,436.57067,13,page_info
9,-22%,474.59149,520.32949,669.86914,687.86914,14,discount
